院校,专业名,类别,选科要求,计划数
浙江工业大学,健行学院实验班(人文社科),A组,,15
浙江工业大学,健行学院实验班(理工),B组,物理、化学,55
浙江工业大学,化工与制药类(化学工程类),C组,物理、化学,40
浙江工业大学,化学工程与工艺(卓越工程师),C组,物理、化学,5
浙江工业大学,生物工程类,C组,物理、化学,30
浙江工业大学,药学类(“2011计划”创新实验区),C组,物理、化学,30
浙江工业大学,环境科学与工程类,C组,物理、化学,25
浙江工业大学,材料类,C组,物理、化学,25
浙江工业大学,食品科学与工程类,C组,物理、化学,25
浙江工业大学,工商管理类,D组,,5
浙江工业大学,金融学,D组,,5
浙江工业大学,国际经济与贸易,D组,,5
浙江工业大学,应用心理学,D组,,5
浙江工业大学,英语,D组,,5
浙江工业大学,新闻传播学类,D组,,5
浙江工业大学,汉语言文学,D组,,5
浙江工业大学,城乡规划,D组,,5
浙江工业大学,法学,D组,,10
浙江工业大学,公共管理类,D组,,10
浙江工业大学,计算机类,E组,物理、化学,20
浙江工业大学,数据科学与大数据技术,E组,物理、化学,10
浙江工业大学,土木类,E组,物理、化学,30
浙江工业大学,物理学类(物理与光电信息类),E组,物理、化学,15
浙江工业大学,数学类,E组,物理、化学,15
浙江工业大学,管理科学与工程类,E组,物理,10
浙江工业大学,机械类,F组,物理、化学,35
浙江工业大学,机械工程(卓越工程师),F组,物理、化学,5
浙江工业大学,能源与环境系统工程,F组,物理、化学,5
浙江工业大学,机器人工程,F组,物理、化学,10
浙江工业大学,电气类,F组,物理、化学,10
浙江工业大学,电子信息类,F组,物理、化学,15
浙江工业大学,工业设计,F组,物理、化学,5
浙江工业大学,安全工程,F组,物理、化学,5
浙江师范大学,思想政治教育(师范),普通类,政治,30
浙江师范大学,小学教育(师范),普通类,,40
浙江师范大学,汉语言文学(师范),普通类,,40
浙江师范大学,英语(师范),普通类,,26
浙江师范大学,数学与应用数学(师范),普通类,物理、化学,25
浙江师范大学,物理学(师范),普通类,物理、化学,20
浙江师范大学,化学(师范),普通类,物理、化学,35
浙江师范大学,生物科学(师范),普通类,物理、化学,35
浙江师范大学,学前教育(师范),普通类,,30
浙江师范大学,特殊教育(师范),普通类,,30
浙江师范大学,地理科学(地理科学+思想政治教育本硕衔接试验班)(师范),复硕,地理,40
浙江师范大学,化学(化学+生物科学本硕衔接试验班)(师范),复硕,物理、化学,40
宁波大学,水产养殖学(拔尖人才创新班),非师范类,物理、化学,5
宁波大学,物理学(拔尖人才创新班),非师范类,物理、化学,5
宁波大学,生物技术(拔尖人才创新班),非师范类,物理、化学,5
宁波大学,环境工程,非师范类,物理、化学,5
宁波大学,物流管理,非师范类,,5
宁波大学,机械类,非师范类,物理、化学,10
宁波大学,历史学,非师范类,,10
宁波大学,日语,非师范类,,10
宁波大学,德语,非师范类,,10
宁波大学,汉语言文学,非师范类,,15
宁波大学,经济学,非师范类,,15
宁波大学,学前教育(师范),师范类,,15
宁波大学,思想政治教育(师范),师范类,政治,15
宁波大学,汉语言文学(师范),师范类,,15
宁波大学,数学与应用数学(师范),师范类,物理、化学,15
宁波大学,英语(师范),师范类,,20
宁波大学,物理学(师范),师范类,物理、化学,20
宁波大学,地理科学(师范),师范类,地理,40
宁波大学,小学教育(师范),师范类,,95
宁波大学,人文地理与城乡规划(中外合作办学)(中法合作),中外合作类,地理,20
宁波大学,旅游管理(中外合作办学)(中法合作),中外合作类,,20
杭州电子科技大学,计算机科学与技术,普通类,物理、化学,25
杭州电子科技大学,软件工程,普通类,物理、化学,15
杭州电子科技大学,电子信息类(电子信息学院),普通类,物理、化学,30
杭州电子科技大学,数字媒体技术,普通类,物理、化学,10
杭州电子科技大学,信息安全,普通类,物理、化学,5
杭州电子科技大学,网络工程,普通类,物理、化学,5
杭州电子科技大学,集成电路设计与集成系统,普通类,物理、化学,10
杭州电子科技大学,智能科学与技术,普通类,物理、化学,10
杭州电子科技大学,统计学,普通类,物理、化学,10
杭州电子科技大学,环境工程,普通类,物理、化学,20
杭州电子科技大学,会计学,普通类,,10
杭州电子科技大学,审计学,普通类,,5
杭州电子科技大学,财务管理,普通类,,5
杭州电子科技大学,金融学,普通类,,15
杭州电子科技大学,法学,普通类,,5
杭州电子科技大学,英语,普通类,,10
杭州电子科技大学,智能制造工程,普通类,物理、化学,5
杭州电子科技大学,应用物理学,普通类,物理、化学,10
杭州电子科技大学,车辆工程,普通类,物理、化学,5
杭州电子科技大学,材料科学与工程,普通类,物理、化学,20
杭州电子科技大学,管理科学与工程类,普通类,物理,30
杭州电子科技大学,数学类,普通类,物理、化学,30
杭州电子科技大学,光电信息科学与工程,普通类,物理、化学,15
杭州电子科技大学,电气工程及其自动化,普通类,物理、化学,20
杭州电子科技大学,自动化,普通类,物理、化学,35
杭州电子科技大学,机械设计制造及其自动化,普通类,物理、化学,20
杭州电子科技大学,工商管理,普通类,,10
杭州电子科技大学,工业设计,普通类,物理、化学,5
杭州电子科技大学,工业工程,普通类,物理,10
杭州电子科技大学,传播学,普通类,,10
浙江工商大学,工商管理类,Ⅰ类,,10
浙江工商大学,数字经济,Ⅰ类,物理,20
浙江工商大学,会计学,Ⅰ类,,5
浙江工商大学,金融学(普惠金融创新班),Ⅰ类,,15
浙江工商大学,金融工程,Ⅰ类,物理,5
浙江工商大学,保险学,Ⅰ类,,5
浙江工商大学,公共管理类,Ⅱ类,,20
浙江工商大学,旅游管理类,Ⅱ类,,25
浙江工商大学,外国语言文学类,Ⅱ类,,25
浙江工商大学,新闻传播学类,Ⅱ类,,20
浙江工商大学,城乡规划,Ⅱ类,,4
浙江工商大学,社会工作,Ⅱ类,,4
浙江工商大学,哲学,Ⅱ类,,4
浙江工商大学,汉语言文学,Ⅱ类,,4
浙江工商大学,法语,Ⅱ类,,10
浙江工商大学,阿拉伯语,Ⅱ类,,10
浙江工商大学,日语,Ⅱ类,,25
浙江工商大学,历史学,Ⅱ类,,4
浙江工商大学,电子信息类,Ⅲ类,物理、化学,15
浙江工商大学,计算机类,Ⅲ类,物理、化学,15
浙江工商大学,环境科学与工程类,Ⅲ类,物理、化学,30
浙江工商大学,食品科学与工程类,Ⅲ类,物理、化学,30
浙江工商大学,数学与应用数学,Ⅲ类,物理、化学,10
浙江工商大学,给排水科学与工程,Ⅲ类,物理、化学,5
浙江工商大学,生物工程,Ⅲ类,物理、化学,10
浙江工商大学,信息管理与信息系统,Ⅲ类,物理,10
浙江工商大学,电子信息工程(中外合作办学),Ⅲ类,物理、化学,10
浙江工商大学,通信工程(中外合作办学),Ⅲ类,物理、化学,10
浙江理工大学,纺织类(纺织工程、非织造材料与工程),理工类一,物理、化学,30
浙江理工大学,轻化工程,理工类一,物理、化学,20
浙江理工大学,服装设计与工程,理工类一,物理,25
浙江理工大学,丝绸设计与工程,理工类一,,20
浙江理工大学,生物科学类(生物技术、生物制药),理工类一,物理、化学,30
浙江理工大学,材料类(材料科学与工程、高分子材料与工程),理工类一,物理、化学,30
浙江理工大学,应用化学,理工类一,物理、化学,20
浙江理工大学,数学类(数学与应用数学、信息与计算科学),理工类二,物理、化学,30
浙江理工大学,应用物理学,理工类二,物理、化学,20
浙江理工大学,土木类(土木工程、建筑环境与能源应用工程、工程管理),理工类二,物理、化学,30
浙江理工大学,建筑学,理工类二,,15
浙江理工大学,机械类(机械设计制造及其自动化、机械电子工程、智能制造工程),理工类二,物理、化学,25
浙江理工大学,工业设计,理工类二,物理、化学,25
浙江理工大学,自动化,理工类二,物理、化学,10
浙江理工大学,经济与贸易类(经济学、金融学、国际经济与贸易),经管人文类,,15
浙江理工大学,工商管理类(会计学、工商管理、人力资源管理),经管人文类,,15
